1,jsPath,controllerId,eventId,url,app,sg,so,webControllerJs
67,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'code', 'ledger', 'LedgerCodeLayout.js']",LedgerCodeLayoutLogic,startMonthPressed,,,,,src/com/tmax/fs/js/code/ledger/LedgerCodeLayout.js
68,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,clickDocAccountUpdateDialogIconButton01,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
69,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",DocAccountLayout,onWidgetAttach,${FsPo}COA/DeleteDocCoa?action=SO,FS,COA,DeleteDocCoaSO,src/com/tmax/fs/js/docaccount/DocAccount.js
70,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,clickDocAccountInsertButton,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
71,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,clickDocAccountUpdateDialogIconButton02,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
72,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",DocAccountLayout,onWidgetAttach,${FsPo}COA/InsertDocCoa?action=SO,FS,COA,InsertDocCoaSO,src/com/tmax/fs/js/docaccount/DocAccount.js
73,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,keyReleasedDocAccountInsertDialog,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
74,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,clickDocAccountUpdateButton,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
75,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,keyReleasedDocAccountUpdateDialog,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
76,"['C:', 'Users', '이재원', 'Documents', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'com', 'tmax', 'fs', 'js', 'docaccount', 'DocAccount.js']",FI_1Q_TOPLogic,clickDocAccountInsertDialogIconButton01,,,,,src/com/tmax/fs/js/docaccount/DocAccount.js
