xmlPath,parentObject,widget,controller,event,jsPath,url,app,sg,so,matching
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_5,FI_1Q_TOPLogic,routeToInfraClient_Client1,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_5_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_14,FI_1Q_TOPLogic,routeToEmp,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout974_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_10,FI_1Q_TOPLogic,routeToGL,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout429', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout445,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2_1', 'LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_1_1,FI_1Q_TOPLogic,routeToTTB,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MainFScsp_HelpLayout,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']",['MainFI_1Q_TOPLayout'],PFSLayout,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_15,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_7,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237', 'LinearLayout956', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_12,FI_1Q_TOPLogic,routeToPRECCO,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_2', 'LinearLayout956_2', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_2_2,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1_6,FI_1Q_TOPLogic,routeToLedger,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_10,FI_1Q_TOPLogic,routeToTest_Css,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_1', 'LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_1,FI_1Q_TOPLogic,routeToDocjl,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'src', 'common', 'routing.js']",,,,,Y
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956_2_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout1237_2_1,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956_2', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth1_2,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout151', 'LeftBar', 'MainFI_1Q_TOPLayout']",ImageButton259,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout956_1', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout974_1,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LeftBar', 'MainFI_1Q_TOPLayout']",LinearLayout151,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LinearLayout1237_4', 'MainFScsp_HelpLayout', 'LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",MenuDepth2_9_4,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'MainFI_1Q_TOPLayout.tlf']","['LayoutMain', 'PFSLayout', 'MainFI_1Q_TOPLayout']",LinearLayout956_1,MainFI_1Q_TOPLayoutLogic,,[],,,,,N
