1,xmlPath,parentWidget,widgetID,controllerId,eventId,jsPath,url,app,sg,so
37,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetfafc7f484bc730f1abe709daa83ad42,DocCopyLayoutLogic,,[],,,,
38,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget61d206988853315cad1c54d75426a137,DocCopyLayoutLogic,,[],,,,
39,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget2000023b292f31fd8389310725d708a4,DocCopyLayoutLogic,,[],,,,
40,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgete49804a7f7843deeb3f459dae951207c,DocCopyLayoutLogic,,[],,,,
41,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget559a5a43b7943616848a9ca06c091bed,DocCopyLayoutLogic,,[],,,,
42,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget7607091945a6380bb5637f65f357ea6e,DocCopyLayoutLogic,,[],,,,
43,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget216949770b76326ab449fef5274ed140,DocCopyLayoutLogic,,[],,,,
44,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget515542292b7239a5b32ed7756ec1c138,DocCopyLayoutLogic,,[],,,,
45,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetcd8b262fb8c231979d67a525423f1e4d,DocCopyLayoutLogic,,[],,,,
46,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widget515542292b729a5b32ed7756ec1c138,DocCopyLayoutLogic,,[],,,,
47,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget536e8530a7ef3fe5a12255ef7aaf9d50', 'TableViewDocCopyMove', 'LinearLayout20', 'DocCopyLayout']",Widgetcd8b262fb8c23197967a525423f1e4d,DocCopyLayoutLogic,,[],,,,
48,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']",['DocCopyLayout'],LinearLayout40,DocCopyLayoutLogic,,[],,,,
49,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['LinearLayout40', 'DocCopyLayout']",TableViewDocSalesCopyMove,DocCopyLayoutLogic,,[],,,,
50,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget9fa414c6a99630c490cacfa203a37da3,DocCopyLayoutLogic,,[],,,,
51,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widget5a37ea50eadd34ecb30a30408f774036,DocCopyLayoutLogic,,[],,,,
52,"['C:', 'Users', '이재원', 'Documents', 'fsCode', 'FI_TOP_1Q-feature', 'FI_1Q_TOP', 'meta', 'layout', 'com', 'tmax', 'fs', 'layout', 'docjl', 'DocCopyLayout.tlf']","['Widget5a37ea50eadd34ecb30a30408f774036', 'Widget9fa414c6a99630c490cacfa203a37da3', 'TableViewDocSalesCopyMove', 'LinearLayout40', 'DocCopyLayout']",Widgetfd2bf53e3d89373abe77487bd78bda47,DocCopyLayoutLogic,,[],,,,
